,IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain,Sexe,EtatCivil,Specialite,IDChaineMontage,TauxHoraire,Allure,Status,Age,Expertise
198,193,629,29.0,25.89,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
200,193,642,45.5,19.04,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
201,193,674,35.028571428571425,48.55428571428571,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
205,193,709,3.3000000000000003,90.06333333333333,15,13,2,1,Finition,13,4.845,45.0,1,43.0,11
208,193,716,12.0,24.49,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
212,193,746,42.41428571428571,33.54857142857143,16,13,2,1,Finition,13,4.845,45.0,1,43.0,11
214,193,754,50.0,51.55,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
215,193,756,12.016666666666666,14.273333333333332,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
217,193,779,40.55,62.05625,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
218,193,780,66.0,50.77,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
219,193,781,22.5,14.5075,9,12,2,1,Finition,13,4.845,45.0,1,43.0,11
220,193,782,50.0,51.55,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
223,193,799,95.0,64.63,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
226,193,811,24.0,24.74,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
227,193,820,13.6,76.49857142857142,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
228,193,826,6.75,12.5,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
231,193,842,17.133333333333333,109.71500000000002,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
232,193,843,23.175,69.065,16,13,2,1,Finition,13,4.845,45.0,1,43.0,11
233,193,845,23.86315789473684,17.45157894736842,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
234,193,848,5.6,70.0,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
237,193,856,10.333333333333334,65.77666666666666,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
238,193,857,6.975,29.395,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
239,193,860,15.566666666666668,102.90333333333336,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
247,193,896,24.613333333333333,74.39166666666667,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
248,193,912,21.35625,10.610625,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
249,193,913,9.96,24.402,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
253,193,932,30.0,50.85,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
259,193,965,30.0,50.85,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
260,193,969,7.0,53.85,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
261,193,972,81.0,28.83,15,13,2,1,Finition,13,4.845,45.0,1,43.0,11
262,193,973,30.5,11.09,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
264,193,978,12.46875,17.85875,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
266,193,983,29.5,32.07,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
268,193,989,14.4,29.39,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
272,193,996,20.0,36.36,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
276,193,1003,16.8,17.32,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
278,193,1008,37.0,27.41,15,13,2,1,Finition,13,4.845,45.0,1,43.0,11
281,193,1029,14.375,26.455,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
284,193,1046,1.2,18.855,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
285,193,1049,8.8,66.36,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
286,193,1051,8.8,67.69,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
287,193,1053,12.4,28.96,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
290,193,1060,36.0,22.22,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
291,193,1071,5.866666666666667,62.116666666666674,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
292,193,1072,4.733333333333333,16.150000000000002,12,13,2,1,Finition,13,4.845,45.0,1,43.0,11
